Resultado obtido via SPG com funcao penalizada por 10E+26 quando x > 0.1y
Resultado apenas utilizando SPG
Resumo SPG
npun = 100
ndim = 2
f_SPG = 921.4270631728488
||g_SPG|| = 74.24157476901576
x_min = 4.023363882480257 | x_max = 4.907817912887587
y_min = 48.606247811406696 | y_max = 49.501800197509446

metodo	ponto	x	y
SPG	62	4.447789304042661	48.79716202207726
SPG	63	4.4817026781261395	48.698083487953895
SPG	64	4.767350425156984	49.386112119332495
SPG	65	4.6588618123715175	49.34563149652116
SPG	66	4.632103753295691	49.466190546125596
SPG	67	4.538704939855808	48.7420544190861
SPG	68	4.72024708698689	49.415561910861044
SPG	69	4.641745689407585	49.42467826716438
SPG	70	4.686576705424195	49.3600755193787
SPG	71	4.454993080199882	48.80827201530558
SPG	72	4.8454801029439665	49.31500440731569
SPG	73	4.604473996958427	49.46765512673661
SPG	74	4.561668868445824	48.675877977236404
SPG	75	4.49091690586997	48.6613985733022
SPG	76	4.023363882480257	49.06371129660962
SPG	77	4.708875260922022	49.41087576301061
SPG	78	4.779357259155558	48.82460315698028
SPG	79	4.509390973681934	48.72793578157017
SPG	80	4.737723303766546	48.73500513701149
SPG	81	4.58301292460887	48.71802780207587
SPG	82	4.485956617020067	48.76456843718468
SPG	83	4.584873496690611	48.69676570533969
SPG	84	4.670053803353106	49.501800197509446
SPG	85	4.5174226013405905	48.739443076154735
SPG	86	4.683509500591765	49.34789163476549
SPG	87	4.853574691769917	49.32735060728102
SPG	88	4.67953244869658	48.719508682081155
SPG	89	4.655925352865608	49.43472233361642
SPG	90	4.436099770445345	48.69600292555392
SPG	91	4.632087141238712	49.40420162781891
SPG	92	4.576715380618636	48.72235063258569
SPG	93	4.724561599051408	48.6786571955351
SPG	94	4.663459043697425	49.37448967463126
SPG	95	4.039935288555185	49.22017650621945
SPG	96	4.602338123625008	48.675846202872684
SPG	97	4.53981966001144	48.680083279692674
SPG	98	4.571336486817598	49.43192204904209
SPG	99	4.765453511059267	49.48788278804659
SPG	100	4.487217565754018	48.70076164638129
---------------------------------------------------
---------------------------------------------------
---------------------------------------------------
Resultado obtido via MADS após aplicar SPG.
f_SPG = 921.4270631728488
||g_SPG|| = 74.24157476901576
Resumo MADS
f_MADS = 837.6792156847454
||g_MADS|| = 122.79432671544363
x_min = 4.02356388248026 | x_max = 4.93996797856222
y_min = 48.57222881261734 | y_max = 49.58388278804659

metodo	ponto	x	y
MADS	1	4.84647207057265	48.62546896206979
MADS	2	4.92553454868461	49.41269925346761
MADS	3	4.29357686716775	49.39408364618358
MADS	4	4.03602034743759	49.22855129205237
MADS	5	4.79839678916951	48.70400116973813
MADS	6	4.75005397360039	49.28344641877052
MADS	7	4.33593518631257	49.49124874250229
MADS	8	4.08675447187115	49.29953969919724
MADS	9	4.26602340756801	48.82726058833625
MADS	10	4.85486146930793	48.68474600114585
MADS	11	4.86863018470518	48.76828690867648
MADS	12	4.45635792480292	48.68207304441021
MADS	13	4.29327242675111	48.91278524032825
MADS	14	4.21760765925856	49.43825513885584
MADS	15	4.70064513388734	48.74445460148429
MADS	16	4.37710243762744	48.62877531518084
