dimension,model_solver,model_multistart,update,f_x,RMSD,gradient_norm,function_evaluations,gradient_evaluations,execution_time_seconds,iterations,convergence_type,converged,model_solves,model_iterations,model_solve_time_seconds,minimizer
10,ipopt,100,bfgs,0.3505625671271116,0.04554486487770571,0.9975977033723491,152,43,2583.394398894,42,function_converged,true,41,80966,17.149556966999995,"[0.34594178749269505, 0.029284281360029356, -0.019208627990757718, 0.1837626503074994, -0.022479646398328258, 0.07395319872739235, -0.01879678884182737, 0.046179609489712156, 0.12791608415917333, 0.17611020975123326]"
10,bfgs,1,bfgs,0.3444958469675519,0.045149052750916505,0.6349483144099758,112,32,1938.536703681,31,function_converged,true,30,750,0.097539777,"[0.2828511280548587, 0.02331449658683261, -0.02288447242533808, 0.18449574254899787, -0.01979721575658885, 0.07294298584012815, 0.019445441126351125, 0.002233207123313351, 0.12348749222982836, 0.17512283954049468]"
10,bfgs,10,bfgs,0.34516706599774605,0.045193015771719365,1.7063890600141463,133,32,2237.261858069,31,step_converged,true,30,34343,2.388748953999999,"[0.31067425289656586, -0.12486814398364571, -0.01908463333841962, 0.18299917314743486, -0.023894885730433912, 0.01414349919736953, 0.07052967022611548, -0.006464910773885568, 0.14257202978696765, 0.1793784306163958]"
10,bfgs,100,bfgs,0.34154199306775995,0.04495507244864016,8.457281045016398,136,36,2533.246261394,35,step_converged,true,34,462839,32.376869508999995,"[2.0777073479098123, -0.2632550199786714, -0.021781164750377585, 0.1786239127575921, -0.015923780151854413, 0.03404393799013557, 0.06973271053268502, 0.0010228003505825549, 0.1234743253552647, 0.1715274905494239]"
10,bobyqa,1,bfgs,0.3394294903865329,0.04481582893350558,0.4227884778790625,144,50,3051.54675828,49,function_converged,true,48,10901,0.3311963379999999,"[2.212206414087414, 0.09718433197939887, -0.024270324040010147, 0.18625752357227784, -0.0640044438008334, 0.029748293594362, 0.024122748519695657, 0.004841933171084308, 0.11380444016730218, 0.17133410345439612]"
10,bobyqa,10,bfgs,0.345104321890588,0.04518890801553646,0.48615226527062255,319,95,6527.586061421,94,function_converged,true,93,832468,23.706294386999996,"[0.14039016268312274, -0.005880094557720983, -0.011461706608378088, 0.17934798364032176, -0.009833020350653027, 0.07353454791503278, 0.016159281720947712, 0.015266087858576367, 0.10659334067130778, 0.170558080895529]"
10,bobyqa,100,bfgs,0.3416312386388255,0.04496094548788591,0.5691551932459379,168,49,3441.343292305,48,step_converged,true,47,4481102,128.728721063,"[1.5546960251488886, 0.09151776357908693, -0.02225535199704291, 0.1868765157822734, -0.06803351766259942, 0.022052615307620264, 0.02688488343603636, -0.0008511434970292997, 0.12038260626248935, 0.1736454619009939]"
10,mads,1,bfgs,0.34923114454146653,0.045458293815064436,1.583920525386299,1056,155,16318.118804393,154,step_converged,true,153,26918,50.551748118000006,"[0.4611013500011114, 0.0229234430426986, -0.015478305930356198, 0.17771043938291925, 0.008830578180222924, 0.033901612110595995, 0.04265532504732548, 0.00035646985946742826, 0.13963825868537694, 0.17851357947111904]"
10,mads,10,bfgs,0.3475926825610028,0.0453515317852904,0.41514679649923975,214,43,5622.515817265,42,step_converged,true,41,349407,1519.2072231569998,"[2.124307734630173, -0.010438205680156626, -0.04112031470145865, 0.19037519862553384, -0.056124761959671886, -0.0060085670340607, -0.038799757128670946, 2.3452623492641806e-6, 0.10638002584702146, 0.1696492832287021]"
10,mads,100,bfgs,0.3921181613890674,0.048168722289841794,0.8169293463360793,82,19,6333.783385078,18,step_converged,true,17,1459949,4888.195379114001,"[0.04343917581326873, 0.35785689019437666, 0.03303838037013923, 0.17022751350234513, -0.06984276935627969, -0.018553203637513237, 0.12062591312766364, -0.09443415626691645, 0.13762669752789358, 0.18090860640479475]"
